Commune,Etage,Superficie,Piece,Electricite,Gaz,Eau,Acte notarie,Jardin,Livret foncier,Meuble,Garage,Prix,Prix M2
8,3,72,3,1,1,1,0,0,0,0,0,1200,16.67
9,2,90,4,1,1,1,0,0,0,0,0,1200,13.33
10,3,50,2,1,1,1,1,0,1,0,0,1200,24.00
10,4,70,3,1,1,1,1,0,1,0,0,1200,17.14
10,1,74,3,1,1,1,1,0,1,0,0,1200,16.22
10,5,87,3,1,1,1,1,0,1,0,0,1200,13.79
10,1,88,3,1,1,1,1,0,1,0,1,1200,13.64
10,7,95,4,1,1,1,0,0,0,0,0,1200,12.63
10,7,90,4,1,1,1,0,0,1,0,0,1200,13.33
11,3,114,3,1,1,1,0,0,0,1,1,1200,10.53
11,1,150,4,1,1,1,1,0,1,0,1,1200,8.00
11,1,100,4,1,1,1,1,0,0,0,0,1200,12.00
11,1,137,4,1,1,1,1,1,1,0,1,1200,8.76
11,3,76,3,0,0,0,1,0,1,0,0,1200,15.79
11,2,120,4,1,1,1,0,1,0,0,1,1200,10.00
11,4,145,4,1,1,1,0,0,0,0,1,1200,8.28
12,1,105,3,1,1,1,1,0,1,0,0,1200,11.43
12,5,98,4,1,1,1,0,0,0,1,0,1200,12.24
12,4,136,5,1,1,1,0,0,0,0,1,1200,8.82
12,3,110,4,1,1,1,0,0,0,0,0,1200,10.91
12,4,150,4,1,1,1,1,1,0,0,1,1200,8.00
12,4,80,4,1,1,1,0,0,0,0,0,1200,15.00
13,3,105,4,1,1,1,1,0,1,1,0,1200,11.43
14,3,73,3,1,1,1,0,0,0,0,0,1200,16.44
14,6,100,4,1,1,1,0,0,0,0,0,1200,12.00
14,1,168,4,1,1,1,0,1,0,0,1,1200,7.14
15,4,145,5,1,1,1,0,0,0,0,0,1200,8.28
17,6,77,3,1,1,1,1,0,0,0,0,1200,15.58
17,1,70,3,1,1,1,1,0,1,0,0,1200,17.14
17,3,73,2,1,0,0,1,0,0,0,1,1200,16.44
17,2,110,4,1,1,1,0,0,0,0,1,1200,10.91
17,1,75,3,1,1,1,1,0,0,0,0,1200,16.00
18,1,49,2,1,1,1,1,0,0,0,0,1200,24.49
18,1,53,2,1,1,1,1,0,0,0,0,1200,22.64
18,3,80,3,1,1,1,1,0,0,0,0,1200,15.00
20,4,190,5,1,1,1,0,0,0,0,1,1200,6.32
20,2,70,3,1,1,0,1,1,0,0,0,1200,17.14
20,10,107,4,1,1,1,1,0,0,0,1,1200,11.21
20,1,156,5,1,1,1,1,0,0,0,0,1200,7.69
20,1,45,2,1,1,1,1,0,0,0,0,1200,26.67
20,4,75,3,1,1,1,1,0,0,0,0,1200,16.00
20,2,180,5,1,1,1,1,0,0,0,1,1200,6.67
22,1,104,4,1,1,1,0,0,0,0,1,1200,11.54
22,2,80,3,1,1,1,1,0,0,0,0,1200,15.00
22,1,120,5,1,1,1,1,0,1,0,0,1200,10.00
22,5,68,3,1,1,1,1,0,0,0,0,1200,17.65
22,7,138,5,1,1,1,1,1,1,0,1,1200,8.70
22,1,120,4,1,1,1,1,0,1,0,1,1200,10.00
22,7,138,5,1,1,1,1,1,1,0,1,1200,8.70
22,4,120,3,1,1,1,1,0,1,0,1,1200,10.00
22,7,123,4,1,1,1,1,0,0,0,0,1200,9.76
22,3,65,3,1,1,1,0,0,1,0,0,1200,18.46
22,1,178,3,1,1,1,0,0,0,1,0,1200,6.74
22,5,120,3,1,0,1,1,0,1,1,1,1200,10.00
22,3,129,4,1,1,1,0,0,0,0,0,1200,9.30
22,1,102,3,1,1,1,0,0,0,0,0,1200,11.76
22,2,100,4,1,1,1,0,0,0,0,0,1200,12.00
22,3,110,4,1,1,1,1,0,1,1,0,1200,10.91
22,3,127,4,1,1,1,1,0,1,0,1,1200,9.45
22,1,80,3,1,1,1,0,0,0,0,1,1200,15.00
22,2,2,2,1,1,1,1,0,1,0,0,1200,600.00
22,1,85,3,1,1,1,0,0,0,1,1,1200,14.12
22,1,75,3,1,1,1,0,0,0,0,0,1200,16.00
23,2,76,3,1,1,1,1,0,0,0,0,1200,15.79
23,1,48,2,1,1,1,0,0,0,0,0,1200,25.00
24,1,95,2,1,1,1,1,0,0,0,0,1200,12.63
24,5,90,4,0,0,0,0,0,0,0,0,1200,13.33
24,2,85,3,1,1,1,0,0,0,0,0,1200,14.12
25,3,80,4,1,1,1,1,0,0,0,0,1200,15.00
25,3,250,4,1,1,1,1,0,1,0,1,1200,4.80
25,3,90,4,1,1,1,1,0,1,0,0,1200,13.33
25,2,90,4,1,1,1,1,0,1,0,0,1200,13.33
25,3,220,5,1,1,1,1,0,1,1,1,1200,5.45
25,2,220,6,1,1,1,1,0,1,1,0,1200,5.45
25,3,89,4,0,0,0,1,0,1,0,0,1200,13.48
25,3,65,3,1,1,1,1,0,1,1,0,1200,18.46
25,5,68,3,1,1,1,0,0,0,1,0,1200,17.65
25,1,126,3,1,1,1,0,0,0,0,0,1200,9.52
25,2,100,3,1,1,1,1,0,1,0,1,1200,12.00
25,2,170,4,1,1,1,1,0,1,0,1,1200,7.06
25,2,86,4,1,1,1,1,0,1,0,0,1200,13.95
25,4,90,4,1,1,1,1,0,1,0,0,1200,13.33
25,4,124,4,1,1,1,1,0,0,0,1,1200,9.68
25,1,200,5,1,1,1,1,1,1,1,1,1200,6.00
25,4,160,3,1,1,1,1,0,1,0,1,1200,7.50
25,4,127,4,1,1,1,1,0,1,0,0,1200,9.45
25,2,100,4,1,1,1,1,0,1,0,0,1200,12.00
25,1,105,3,1,1,1,0,0,0,0,1,1200,11.43
25,1,85,3,1,1,1,0,0,0,0,0,1200,14.12
25,3,76,3,1,1,1,1,0,0,0,0,1200,15.79
26,1,105,4,1,1,1,0,0,0,0,0,1200,11.43
26,2,145,4,1,1,1,1,0,0,0,0,1200,8.28
26,4,85,4,1,1,1,1,0,0,0,0,1200,14.12
26,3,70,3,1,1,1,0,0,0,0,0,1200,17.14
26,2,98,4,0,0,0,0,0,0,0,0,1200,12.24
26,5,113,5,1,1,1,0,1,0,1,1,1200,10.62
26,4,105,5,1,1,1,0,0,0,0,0,1200,11.43
27,11,98,3,1,1,1,1,1,1,0,1,1200,12.24
27,1,110,3,1,1,1,0,0,0,0,1,1200,10.91
27,3,135,5,1,1,1,1,0,1,0,0,1200,8.89
27,1,200,4,0,0,0,0,0,0,0,0,1200,6.00
27,1,152,4,0,0,0,0,0,0,0,0,1200,7.89
27,2,98,4,1,1,1,0,0,0,0,1,1200,12.24
27,3,110,3,1,1,1,0,0,0,0,1,1200,10.91
27,5,95,4,1,1,1,0,0,0,0,0,1200,12.63
27,3,75,3,1,1,1,0,0,0,0,0,1200,16.00
28,4,150,4,1,1,1,0,0,0,0,1,1200,8.00
28,1,105,4,1,1,1,1,0,1,1,0,1200,11.43
28,1,116,4,1,1,1,0,0,0,0,1,1200,10.34
2,1,105,4,1,1,1,0,0,0,0,0,1220,11.62
4,3,120,4,1,1,1,0,0,0,0,0,1220,10.17
28,9,186,5,1,1,1,1,0,1,0,0,1230,6.61
2,4,68,2,1,1,1,0,0,0,0,0,1240,18.24
1,1,92,3,0,1,0,1,0,0,0,0,1500,16.30
1,1,85,3,1,1,1,1,0,1,0,1,1500,17.65
1,1,80,3,1,1,1,0,0,0,0,0,1500,18.75
