Commune,Etage,Superficie,Piece,Electricite,Gaz,Eau,Acte notarie,Jardin,Livret foncier,Meuble,Garage,Prix
2,6.0,117,4.0,1,1,1,1,1,1,0,1,1300.0
2,6.0,126,4.0,1,1,1,1,1,1,0,1,1700.0
2,6.0,145,4.0,1,1,1,1,1,1,0,1,1500.0
2,5.0,76,3.0,1,1,1,1,0,0,0,0,1300.0
2,6.0,94,3.0,1,1,1,1,0,1,0,0,1500.0
2,1.0,95,4.0,1,1,1,1,0,1,0,0,1800.0
2,3.0,80,3.0,1,1,1,1,0,1,0,0,1250.0
2,2.0,82,3.0,0,0,0,0,0,0,0,0,1750.0
2,1.0,83,3.0,1,1,1,1,0,1,0,0,1000.0
2,5.0,73,3.0,0,0,0,0,0,0,0,0,1430.0
2,1.0,80,4.0,1,1,1,1,0,1,0,0,1650.0
2,3.0,125,5.0,1,1,1,1,0,1,0,0,1400.0
2,2.0,120,4.0,1,1,1,1,0,0,1,0,1650.0
2,1.0,90,3.0,1,1,1,1,0,1,0,0,1800.0
2,2.0,78,3.0,1,1,1,1,0,1,0,0,1300.0
2,2.0,85,4.0,1,1,1,0,1,0,0,0,1700.0
2,12.0,88,4.0,1,1,1,1,0,1,0,0,1850.0
2,4.0,90,4.0,1,1,1,0,0,0,0,0,1450.0
2,3.0,120,5.0,1,1,1,1,0,0,0,0,1200.0
2,11.0,85,3.0,0,0,0,1,0,0,0,0,1300.0
2,1.0,82,4.0,1,1,1,0,0,0,0,0,1450.0
2,1.0,105,4.0,1,1,1,0,0,0,0,0,1220.0
2,4.0,45,3.0,1,1,1,1,0,0,0,0,1800.0
2,3.0,74,3.0,1,1,1,0,0,0,0,0,1700.0
2,1.0,98,5.0,1,1,1,1,1,1,0,0,1650.0
2,1.0,116,4.0,1,1,1,1,0,1,0,1,2260.0
2,4.0,68,2.0,1,1,1,0,0,0,0,0,1240.0
2,3.0,75,3.0,1,1,1,1,0,1,0,0,1800.0
2,2.0,73,3.0,0,0,0,1,0,0,0,0,1350.0
2,4.0,106,5.0,1,1,1,0,0,0,0,0,2000.0
2,5.0,78,3.0,1,1,1,0,0,0,0,0,1600.0
2,3.0,110,5.0,0,0,0,0,0,0,0,0,1300.0
2,4.0,87,3.0,1,1,1,1,0,1,0,0,1300.0
2,2.0,125,3.0,1,1,1,0,0,0,0,0,1600.0
2,3.0,80,3.0,1,1,1,1,0,1,0,1,1665.0
2,3.0,85,5.0,1,1,1,0,0,0,0,0,1100.0
2,5.0,88,4.0,1,1,1,1,0,0,0,0,1300.0
2,2.0,88,4.0,1,1,1,0,0,0,0,0,1600.0
2,4.0,71,3.0,1,1,1,0,0,0,0,0,1500.0
2,1.0,68,3.0,1,1,1,0,0,0,0,0,1320.0
2,3.0,84,4.0,1,1,1,1,0,1,0,0,1400.0
2,2.0,75,3.0,1,1,1,1,0,0,0,0,1600.0
2,3.0,96,4.0,1,1,1,1,0,0,0,0,2000.0
2,5.0,78,4.0,1,1,1,0,0,0,1,0,2000.0
2,4.0,75,3.0,1,1,1,1,0,0,0,0,1500.0
2,4.0,90,3.0,1,1,1,0,1,0,0,0,1300.0
2,1.0,65,2.0,1,1,1,0,0,0,0,0,1200.0
2,1.0,73,3.0,1,1,1,0,0,0,0,0,1850.0
2,6.0,75,3.0,1,1,1,0,0,0,0,0,1700.0
2,4.0,83,3.0,1,1,1,1,0,0,0,0,1400.0
2,8.0,85,4.0,1,1,1,1,0,1,0,0,1700.0
2,5.0,105,4.0,1,1,1,1,0,1,0,1,1400.0
2,3.0,75,3.0,1,1,1,1,0,0,0,0,1200.0
2,3.0,71,3.0,1,1,1,0,0,1,0,0,1800.0
2,3.0,75,3.0,0,0,0,1,0,1,0,0,1100.0
2,1.0,76,3.0,0,0,0,0,0,0,0,0,1600.0
2,1.0,73,3.0,1,1,1,0,0,0,0,1,1200.0
2,2.0,75,3.0,1,1,1,0,1,0,0,0,1850.0
2,9.0,120,4.0,1,1,1,1,0,0,0,0,2000.0
2,4.0,74,3.0,0,0,0,0,0,0,0,0,1400.0
2,1.0,72,3.0,1,1,1,0,0,1,0,0,1200.0
2,1.0,110,4.0,1,1,1,0,0,0,0,0,1200.0
2,4.0,71,3.0,0,0,0,0,0,0,0,0,1300.0
2,3.0,98,5.0,0,0,0,0,0,0,0,0,1300.0
2,1.0,74,3.0,1,1,1,1,0,1,0,0,1100.0
2,2.0,85,3.0,1,1,1,1,0,1,0,0,1350.0
2,1.0,82,3.0,1,1,1,1,0,0,0,0,1300.0
2,1.0,75,3.0,0,0,0,0,0,0,0,0,1200.0
2,6.0,84,3.0,0,0,0,0,0,0,0,0,1720.0
2,3.0,75,4.0,0,0,0,0,0,0,0,0,1500.0
2,3.0,85,4.0,1,1,1,0,0,0,1,0,1500.0
2,1.0,73,3.0,1,1,1,1,0,0,0,0,1300.0
2,3.0,85,4.0,0,0,0,0,0,0,0,0,1700.0
2,3.0,95,4.0,1,1,1,1,1,1,0,0,2100.0
2,3.0,70,3.0,1,1,1,1,0,0,0,0,1550.0
2,1.0,90,4.0,1,1,1,0,0,0,0,0,1200.0
2,1.0,75,3.0,1,1,1,1,0,0,0,0,1200.0
2,5.0,82,4.0,1,1,1,1,0,0,0,0,1300.0
2,4.0,75,4.0,0,0,0,0,0,0,0,0,1800.0
2,1.0,75,3.0,0,0,0,1,0,1,0,0,1850.0
2,3.0,74,3.0,1,1,1,0,0,0,0,0,1300.0
2,2.0,109,4.0,1,0,1,0,0,0,0,1,1600.0
2,1.0,111,4.0,1,1,1,1,0,1,0,0,1800.0
2,2.0,74,3.0,1,1,1,1,0,0,0,0,1800.0
2,1.0,75,3.0,0,0,0,0,0,0,0,0,1800.0
2,11.0,80,3.0,0,0,0,1,0,0,0,0,1750.0
2,4.0,85,4.0,1,1,1,0,0,0,0,0,1300.0
2,3.0,113,4.0,1,1,0,1,0,0,0,0,1200.0
2,1.0,72,3.0,0,0,0,0,0,0,0,0,1200.0
2,5.0,110,5.0,1,1,1,0,0,0,0,0,1800.0
2,5.0,88,4.0,1,1,1,1,0,0,0,0,1300.0
2,1.0,110,4.0,1,1,1,1,0,1,0,0,1700.0
2,4.0,105,4.0,1,1,1,1,0,1,0,0,1350.0
2,3.0,72,3.0,0,0,0,0,0,0,0,0,1650.0
2,3.0,75,4.0,1,1,1,0,0,0,0,0,1050.0
2,1.0,100,4.0,1,1,1,1,0,0,1,0,1800.0
2,3.0,72,3.0,0,0,0,0,0,0,0,0,1650.0
2,3.0,72,3.0,1,1,1,0,0,0,0,0,1350.0
2,1.0,99,4.0,1,1,1,0,1,0,0,0,1250.0
2,1.0,86,3.0,1,1,1,0,0,0,0,0,1250.0
2,1.0,75,3.0,1,1,1,0,0,0,0,0,1500.0
2,3.0,73,3.0,1,1,1,0,0,0,0,0,1700.0
2,1.0,120,5.0,0,0,0,0,0,0,0,0,1800.0
2,3.0,69,3.0,1,1,1,0,0,0,0,0,1600.0
2,5.0,110,4.0,0,0,0,0,0,0,0,0,1900.0
2,2.0,110,4.0,1,1,1,0,0,0,0,1,2000.0
2,4.0,75,4.0,1,1,1,0,0,0,0,0,2100.0
2,5.0,80,3.0,1,1,0,0,0,0,0,0,1400.0
2,3.0,74,3.0,1,1,1,0,0,0,0,0,1200.0
2,1.0,100,5.0,1,1,1,0,0,0,0,0,2800.0
2,2.0,72,3.0,1,1,1,0,0,0,0,0,1070.0
2,2.0,71,3.0,0,0,0,0,0,0,0,0,1100.0
2,2.0,72,3.0,1,1,1,0,0,0,0,0,1600.0
2,10.0,75,3.0,1,1,0,0,0,0,0,0,1700.0
2,1.0,85,4.0,0,0,0,0,0,0,0,0,1350.0
2,1.0,90,4.0,1,1,1,0,0,0,0,0,2000.0
2,1.0,99,5.0,1,1,1,1,0,0,0,0,1200.0
2,1.0,71,4.0,0,0,0,0,0,0,0,0,1500.0
2,3.0,74,3.0,1,1,1,0,0,0,0,0,1400.0
2,4.0,72,3.0,1,1,0,0,0,0,0,0,1100.0
2,5.0,117,4.0,1,1,1,0,0,0,0,0,1500.0
2,3.0,74,3.0,1,1,1,0,0,0,0,0,1300.0
2,2.0,75,3.0,1,1,1,0,0,0,0,0,1000.0
2,4.0,80,3.0,1,1,1,0,0,0,0,0,1450.0
3,1.0,75,4.0,1,1,1,1,0,0,0,0,1950.0
3,1.0,100,3.0,1,1,1,0,1,0,0,0,1800.0
3,1.0,78,3.0,1,1,1,1,0,1,0,0,1700.0
3,3.0,86,3.0,1,1,1,0,0,0,0,1,1200.0
3,3.0,102,3.0,1,1,1,0,0,0,0,0,1250.0
3,3.0,90,4.0,1,1,1,1,0,0,0,0,1000.0
3,1.0,73,3.0,1,1,1,1,0,0,0,0,1350.0
3,1.0,93,4.0,1,1,1,0,0,0,0,0,1700.0
3,4.0,125,5.0,1,1,1,1,1,0,0,0,1500.0
3,2.0,138,4.0,1,1,1,1,0,0,0,1,2400.0
3,3.0,140,5.0,1,1,1,1,0,0,0,0,1300.0
3,3.0,120,5.0,1,1,1,0,0,0,0,0,1700.0
3,3.0,80,3.0,1,1,1,0,1,0,0,1,1000.0
3,3.0,70,3.0,1,1,1,1,0,1,0,0,1500.0
3,2.0,120,4.0,1,1,0,0,1,0,0,0,2000.0
3,3.0,74,3.0,1,1,1,1,0,0,0,1,1000.0
3,1.0,70,3.0,1,1,1,0,0,0,0,0,1300.0
3,1.0,98,4.0,1,1,1,1,0,0,0,0,2000.0
3,3.0,150,5.0,0,0,0,0,0,0,0,0,1050.0
3,5.0,85,4.0,1,1,1,1,0,0,0,0,2350.0
3,1.0,70,3.0,1,1,1,0,0,0,0,0,1500.0
3,8.0,75,3.0,1,1,1,1,0,0,0,0,1100.0
3,5.0,90,3.0,1,1,1,0,0,0,0,0,1300.0
3,2.0,125,4.0,1,1,1,0,1,0,0,0,1900.0
4,4.0,80,3.0,1,1,1,1,0,1,0,0,1300.0
4,1.0,90,4.0,1,1,1,1,0,1,0,0,1700.0
4,5.0,100,4.0,0,0,0,0,0,0,0,0,2000.0
4,3.0,105,5.0,0,0,0,1,0,0,0,0,2800.0
4,4.0,90,4.0,1,1,1,1,0,0,0,0,1440.0
4,3.0,140,5.0,1,1,1,0,0,0,0,0,1650.0
4,5.0,120,5.0,1,1,1,1,0,0,1,0,2300.0
4,4.0,90,3.0,1,1,1,1,0,0,0,0,1200.0
4,4.0,66,2.0,1,0,1,0,0,0,0,0,1050.0
4,4.0,82,3.0,1,1,1,1,0,1,0,0,1500.0
4,5.0,100,4.0,1,1,1,0,0,0,0,0,1900.0
4,3.0,76,3.0,1,1,1,1,0,0,0,0,1800.0
4,2.0,73,3.0,1,1,1,1,0,1,0,0,1800.0
4,5.0,75,3.0,1,1,1,1,0,1,0,0,1500.0
4,4.0,140,6.0,1,1,1,1,0,0,0,0,2000.0
4,2.0,120,5.0,1,1,1,1,0,1,0,0,1300.0
4,6.0,171,6.0,1,1,1,0,0,1,0,0,2500.0
4,3.0,140,5.0,0,0,0,0,0,0,0,0,1200.0
4,5.0,72,4.0,1,1,1,1,0,0,0,0,1150.0
4,6.0,215,5.0,1,1,1,1,0,1,1,1,1700.0
4,1.0,117,6.0,1,1,1,0,0,0,0,0,1950.0
4,4.0,60,3.0,1,1,1,0,0,0,0,0,1600.0
4,1.0,60,3.0,1,1,1,1,0,0,0,0,1750.0
4,1.0,110,4.0,1,1,1,1,0,0,0,0,2200.0
4,1.0,110,4.0,1,1,1,1,0,1,0,0,1900.0
4,6.0,90,3.0,0,0,0,0,0,0,0,0,1800.0
4,3.0,122,3.0,1,1,1,1,0,0,0,0,1200.0
4,13.0,62,3.0,1,1,1,1,0,1,0,0,1000.0
4,3.0,120,5.0,0,0,0,0,0,0,0,0,1800.0
4,2.0,73,3.0,1,1,1,1,0,1,0,0,1300.0
4,6.0,94,4.0,1,1,1,1,0,1,0,0,2000.0
4,7.0,90,4.0,1,1,1,1,0,1,0,0,1400.0
4,5.0,140,5.0,1,1,1,1,0,1,0,0,2200.0
4,8.0,170,5.0,1,1,1,1,0,1,0,0,1000.0
4,5.0,92,4.0,1,1,1,1,0,1,0,0,1700.0
4,2.0,115,5.0,1,1,1,1,0,1,0,0,2500.0
4,2.0,140,5.0,0,0,0,0,0,0,0,0,1600.0
4,2.0,100,4.0,1,1,1,1,0,1,0,0,2300.0
4,9.0,120,4.0,1,1,1,1,0,1,0,0,1260.0
4,2.0,140,5.0,1,1,1,1,0,1,0,0,1900.0
4,3.0,87,4.0,1,1,1,1,0,0,0,0,1800.0
4,4.0,85,3.0,1,1,1,1,0,1,0,0,1350.0
4,1.0,80,4.0,1,1,1,1,0,1,0,0,1500.0
4,6.0,181,5.0,1,1,1,1,0,0,0,0,2800.0
4,6.0,120,4.0,1,1,1,1,0,1,0,0,2300.0
4,3.0,100,4.0,1,1,1,1,0,1,0,0,1500.0
4,3.0,200,5.0,1,1,1,1,0,0,1,0,3000.0
4,1.0,74,4.0,1,1,1,0,0,0,0,0,1900.0
4,3.0,120,2.0,1,1,1,1,0,1,0,0,1250.0
4,2.0,90,3.0,1,1,1,1,0,0,0,0,1100.0
4,3.0,133,7.0,1,1,1,1,0,0,0,0,2800.0
4,3.0,82,4.0,1,1,1,1,1,1,1,0,1600.0
4,3.0,130,5.0,1,1,1,1,0,1,0,0,2200.0
4,1.0,130,4.0,0,0,0,0,0,0,0,0,1800.0
4,5.0,210,8.0,1,1,1,1,0,1,0,0,2300.0
